Type: PE
Buffering...
Parsing executable...
$ Lib Name: KERNEL32.dll
Entries:  829
11459 : GetPrivateProfileStringA
11707 : GetPrivateProfileStringW
10ef5 : GetPrivateProfileStructA
10ffb : GetPrivateProfileStructW
20b09 : GetProcAddress
27f86 : GetProcessAffinityMask
1f61f : GetProcessHeap
1f62c : GetProcessHeaps
2826f : GetProcessIoCounters
2823c : GetProcessPriorityBoost
27ea5 : GetProcessShutdownParameters
27f20 : GetProcessTimes
2809c : GetProcessVersion
27fcc : GetProcessWorkingSetSize
11315 : GetProfileIntA
11386 : GetProfileIntW
1135e : GetProfileSectionA
113cf : GetProfileSectionW
1132b : GetProfileStringA
1139c : GetProfileStringW
152fc : GetQueuedCompletionStatus
313e9 : GetShortPathNameA
315b9 : GetShortPathNameW
269bc : GetStartupInfoA
26927 : GetStartupInfoW
8777 : GetStdHandle
3effb : GetStringTypeA
3efe0 : GetStringTypeExA
3f68f : GetStringTypeExW
3f721 : GetStringTypeW
40dc6 : GetSystemDefaultLCID
40dba : GetSystemDefaultLangID
40d67 : GetSystemDefaultUILanguage
22a15 : GetSystemDirectoryA
22a70 : GetSystemDirectoryW
2796e : GetSystemInfo
245e1 : GetSystemPowerStatus
ecca : GetSystemTime
f2de : GetSystemTimeAdjustment
ed3d : GetSystemTimeAsFileTime
22abd : GetSystemWindowsDirectoryA
22b18 : GetSystemWindowsDirectoryW
38125 : GetTapeParameters
3800f : GetTapePosition
381b4 : GetTapeStatus
2332a : GetTempFileNameA
23400 : GetTempFileNameW
2308e : GetTempPathA
231dc : GetTempPathW
2b9b7 : GetThreadContext
40cbe : GetThreadLocale
2b79e : GetThreadPriority
2b814 : GetThreadPriorityBoost
fecf : GetThreadSelectorEntry
2c186 : GetThreadTimes
edf9 : GetTickCount
3e7cb : GetTimeFormatA
4bb3c : GetTimeFormatW
f0b5 : GetTimeZoneInformation
40dcc : GetUserDefaultLCID
40dc1 : GetUserDefaultLangID
40d94 : GetUserDefaultUILanguage
2fce7 : GetVDMCurrentDirectories
20b7b : GetVersion
20bac : GetVersionExA
20c8e : GetVersionExW
23a64 : GetVolumeInformationA
23c34 : GetVolumeInformationW
333d0 : GetVolumeNameForVolumeMountPointA
339c2 : GetVolumeNameForVolumeMountPointW
34715 : GetVolumePathNameA
34836 : GetVolumePathNameW
22b65 : GetWindowsDirectoryA
22b8c : GetWindowsDirectoryW
1eb3f : GetWriteWatch
10dac : GlobalAddAtomA
10df2 : GlobalAddAtomW
1da27 : GlobalAlloc
1e4d8 : GlobalCompact
10dcc : GlobalDeleteAtom
10dbc : GlobalFindAtomA
10e02 : GlobalFindAtomW
1e4ed : GlobalFix
1e285 : GlobalFlags
1e391 : GlobalFree
10dda : GlobalGetAtomNameA
10e12 : GlobalGetAtomNameW
1dfe4 : GlobalHandle
1deed : GlobalLock
1e535 : GlobalMemoryStatus
1e9cc : GlobalMemoryStatusEx
1dbc5 : GlobalReAlloc
1e16a : GlobalSize
1e526 : GlobalUnWire
1e502 : GlobalUnfix
1e095 : GlobalUnlock
1e517 : GlobalWire
2ca19 : Heap32First
2c8e0 : Heap32ListFirst
2c987 : Heap32ListNext
2cb2c : Heap32Next
57fe1 : HeapAlloc : NTDLL.RtlAllocateHeap
1f63f : HeapCompact
1f462 : HeapCreate
1f510 : HeapCreateTagsW
1f4c4 : HeapDestroy
1f4e6 : HeapExtend
5803e : HeapFree : NTDLL.RtlFreeHeap
1f652 : HeapLock
1f7d4 : HeapQueryInformation
1f529 : HeapQueryTagW
58088 : HeapReAlloc : NTDLL.RtlReAllocateHeap
1f776 : HeapSetInformation
580bc : HeapSize : NTDLL.RtlSizeHeap
1f545 : HeapSummary
1f665 : HeapUnlock
1f599 : HeapUsage
1f606 : HeapValidate
1f678 : HeapWalk
10e2a : InitAtomTable
2970e : InitializeCriticalSection
29726 : InitializeCriticalSectionAndSpinCount
b5bc : InterlockedCompareExchange
b594 : InterlockedDecrement
b5a8 : InterlockedExchange
b5d0 : InterlockedExchangeAdd
b580 : InterlockedIncrement
3c050 : InvalidateConsoleDIBits
27d57 : IsBadCodePtr
27ca1 : IsBadHugeReadPtr
27d47 : IsBadHugeWritePtr
27c0f : IsBadReadPtr
27d65 : IsBadStringPtrA
27de1 : IsBadStringPtrW
27cb1 : IsBadWritePtr
482e0 : IsDBCSLeadByte
48314 : IsDBCSLeadByteEx
f5c8 : IsDebuggerPresent
27957 : IsProcessorFeaturePresent
24744 : IsSystemResumeAutomatic
47dd7 : IsValidCodePage
40976 : IsValidLanguageGroup
40a5b : IsValidLocale
3e289 : LCMapStringA
454fa : LCMapStringW
5830c : LeaveCriticalSection : NTDLL.RtlLeaveCriticalSection
2007f : LoadLibraryA
20140 : LoadLibraryExA
203a7 : LoadLibraryExW
20130 : LoadLibraryW
27422 : LoadModule
20f62 : LoadResource
9109 : LocalAlloc
1e4d8 : LocalCompact
ef2f : LocalFileTimeToFileTime
a145 : LocalFlags
9298 : LocalFree
a24b : LocalHandle
9605 : LocalLock
a2fc : LocalReAlloc
1f44d : LocalShrink
1f332 : LocalSize
9527 : LocalUnlock
168ec : LockFile
1696d : LockFileEx
215dd : LockResource
1e97e : MapUserPhysicalPages
1e9a5 : MapUserPhysicalPagesScatter
170a8 : MapViewOfFile
170c5 : MapViewOfFileEx
2d15c : Module32First
2d0aa : Module32FirstW
2d2c4 : Module32Next
2d228 : Module32NextW
17752 : MoveFileA
17768 : MoveFileExA
17a7c : MoveFileExW
17a66 : MoveFileW
17780 : MoveFileWithProgressA
17a94 : MoveFileWithProgressW
b5e0 : MulDiv
484d6 : MultiByteToWideChar
4dc7d : NlsConvertIntegerToString
4d635 : NlsGetCacheUpdateCount
40955 : NlsResetProcessLocale
3a1a3 : OpenConsoleW
4ed0a : OpenDataFile
29861 : OpenEventA
298ce : OpenEventW
1c549 : OpenFile
16f84 : OpenFileMappingA
16ff1 : OpenFileMappingW
38297 : OpenJobObjectA
38304 : OpenJobObjectW
29ce9 : OpenMutexA
29d56 : OpenMutexW
267bf : OpenProcess
118f0 : OpenProfileUserMapping
29aa5 : OpenSemaphoreA
29b12 : OpenSemaphoreW
2b6f8 : OpenThread
2a1ef : OpenWaitableTimerA
2a25c : OpenWaitableTimerW
f7c4 : OutputDebugStringA
f5db : OutputDebugStringW
3b17c : PeekConsoleInputA
3b198 : PeekConsoleInputW
22257 : PeekNamedPipe
152ce : PostQueuedCompletionStatus
38067 : PrepareTape
19d21 : PrivCopyFileExW
1839d : PrivMoveFileIdentityW
2cd59 : Process32First
2cca7 : Process32FirstW
2ceaf : Process32Next
2ce13 : Process32NextW
2866a : ProcessIdToSessionId
29975 : PulseEvent
2ec07 : PurgeComm
14e68 : QueryDosDeviceA
14f57 : QueryDosDeviceW
383bc : QueryInformationJobObject
24435 : QueryPerformanceCounter
24473 : QueryPerformanceFrequency
149aa : QueryWin31IniFilesMappedToRegistry
2c248 : QueueUserAPC
2c59b : QueueUserWorkItem
2ba47 : RaiseException
3a4b1 : ReadConsoleA
3b1b4 : ReadConsoleInputA
3b1ec : ReadConsoleInputExA
3b209 : ReadConsoleInputExW
3b1d0 : ReadConsoleInputW
3b738 : ReadConsoleOutputA
3bbd9 : ReadConsoleOutputAttribute
3bb9b : ReadConsoleOutputCharacterA
3bbba : ReadConsoleOutputCharacterW
3b71b : ReadConsoleOutputW
3a4e0 : ReadConsoleW
15f1f : ReadDirectoryChangesW
160b4 : ReadFile
16b86 : ReadFileEx
16c51 : ReadFileScatter
27775 : ReadProcessMemory
3d6c1 : RegisterConsoleIME
3d514 : RegisterConsoleOS2
3ab43 : RegisterConsoleVDM
24e7e : RegisterWaitForInputIdle
2c422 : RegisterWaitForSingleObject
2c4a6 : RegisterWaitForSingleObjectEx
1da1b : RegisterWowBaseHandlers
2fe6f : RegisterWowExec
29dfd : ReleaseMutex
29bb9 : ReleaseSemaphore
1093b : RemoveDirectoryA
10953 : RemoveDirectoryW
1cd0d : ReplaceFile
1cc4d : ReplaceFileA
1cd0d : ReplaceFileW
2474e : RequestDeviceWakeup
246e9 : RequestWakeupLatency
96e5 : ResetEvent
1eb71 : ResetWriteWatch
2ba21 : ResumeThread
58ad3 : RtlFillMemory : NTDLL.RtlFillMemory
58af5 : RtlMoveMemory : NTDLL.RtlMoveMemory
58b13 : RtlUnwind : NTDLL.RtlUnwind
58b31 : RtlZeroMemory : NTDLL.RtlZeroMemory
3ccae : ScrollConsoleScreenBufferA
3cccb : ScrollConsoleScreenBufferW
22e7d : SearchPathA
ac53 : SearchPathW
47e14 : SetCPGlobal
3e74a : SetCalendarInfoA
433d6 : SetCalendarInfoW
2ec86 : SetCommBreak
2ec94 : SetCommConfig
2ed25 : SetCommMask
2edbb : SetCommState
2f0bd : SetCommTimeouts
e20f : SetComputerNameA
e37f : SetComputerNameExA
e0a1 : SetComputerNameExW
d965 : SetComputerNameW
3c8c1 : SetConsoleActiveScreenBuffer
3ce54 : SetConsoleCP
39548 : SetConsoleCommandHistoryMode
3ddba : SetConsoleCtrlHandler
3a8d9 : SetConsoleCursor
3ca29 : SetConsoleCursorInfo
3d3ed : SetConsoleCursorMode
3c9cc : SetConsoleCursorPosition
3aa27 : SetConsoleDisplayMode
3cd47 : SetConsoleFont
3ad40 : SetConsoleHardwareState
3cda4 : SetConsoleIcon
3997b : SetConsoleInputExeNameA
399d1 : SetConsoleInputExeNameW
3ae53 : SetConsoleKeyShortcuts
3d347 : SetConsoleLocalEUDC
3cdfb : SetConsoleMaximumWindowSize
3aef9 : SetConsoleMenuClose
3c7fa : SetConsoleMode
3d1d8 : SetConsoleNlsMode
39315 : SetConsoleNumberOfCommandsA
39303 : SetConsoleNumberOfCommandsW
3d56b : SetConsoleOS2OemFormat
3cf91 : SetConsoleOutputCP
3af50 : SetConsolePalette
3c96f : SetConsoleScreenBufferSize
3cce8 : SetConsoleTextAttribute
39788 : SetConsoleTitleA
397f7 : SetConsoleTitleW
3caeb : SetConsoleWindowInfo
58ef0 : SetCriticalSectionSpinCount : NTDLL.RtlSetCriticalSectionSpinCount
eb78 : SetCurrentDirectoryA
ebda : SetCurrentDirectoryW
2e1c0 : SetDefaultCommConfigA
2e0e4 : SetDefaultCommConfigW
16402 : SetEndOfFile
26fed : SetEnvironmentVariableA
2712b : SetEnvironmentVariableW
1520f : SetErrorMode
9703 : SetEvent
1ecf2 : SetFileApisToANSI
1ecc9 : SetFileApisToOEM
17199 : SetFileAttributesA
171b5 : SetFileAttributesW
1648e : SetFilePointer
165a3 : SetFilePointerEx
167fb : SetFileTime
215dd : SetHandleCount
1ec21 : SetHandleInformation
38489 : SetInformationJobObject
3dc60 : SetLastConsoleEventActive
8232 : SetLastError
9723 : SetLocalTime
3e59a : SetLocaleInfoA
424bd : SetLocaleInfoW
1fa50 : SetMailslotInfo
2478a : SetMessageWaitingIndicator
2210e : SetNamedPipeHandleState
27b1f : SetPriorityClass
281e1 : SetProcessAffinityMask
28208 : SetProcessPriorityBoost
27e61 : SetProcessShutdownParameters
2800d : SetProcessWorkingSetSize
8725 : SetStdHandle
24684 : SetSystemPowerState
ed5c : SetSystemTime
f322 : SetSystemTimeAdjustment
3817a : SetTapeParameters
37fd0 : SetTapePosition
2a5ba : SetTermsrvAppInstallMode
2c1ec : SetThreadAffinityMask
2b9d9 : SetThreadContext
246c4 : SetThreadExecutionState
2c26d : SetThreadIdealProcessor
40ccb : SetThreadLocale
2b755 : SetThreadPriority
2b7e0 : SetThreadPriorityBoost
f1cc : SetTimeZoneInformation
2c7ab : SetTimerQueueTimer
2baa3 : SetUnhandledExceptionFilter
2fbc3 : SetVDMCurrentDirectories
24111 : SetVolumeLabelA
2416e : SetVolumeLabelW
33c21 : SetVolumeMountPointA
33f49 : SetVolumeMountPointW
2a2cc : SetWaitableTimer
2e3f1 : SetupComm
3a936 : ShowConsoleCursor
29eb6 : SignalObjectAndWait
20fe6 : SizeofResource
2a0ad : Sleep
2a0bb : SleepEx
2b9fb : SuspendThread
b77c : SwitchToFiber
2c40f : SwitchToThread
ee88 : SystemTimeToFileTime
f358 : SystemTimeToTzSpecificLocalTime
38398 : TerminateJobObject
268af : TerminateProcess
2b945 : TerminateThread
2a5a8 : TermsrvAppInstallMode
2cf69 : Thread32First
2d016 : Thread32Next
2be78 : TlsAlloc
2c097 : TlsFree
2bfa5 : TlsGetValue
2bff2 : TlsSetValue
2cc6e : Toolhelp32ReadProcessMemory
223ad : TransactNamedPipe
2f15d : TransmitCommChar
1fd58 : TrimVirtualBuffer
594ea : TryEnterCriticalSection : NTDLL.RtlTryEnterCriticalSection
21a39 : UTRegister
51981 : UTUnRegister
2bb86 : UnhandledExceptionFilter
16a0c : UnlockFile
16a71 : UnlockFileEx
17179 : UnmapViewOfFile
3d76a : UnregisterConsoleIME
2c526 : UnregisterWait
2c55b : UnregisterWaitEx
34e30 : UpdateResourceA
34d49 : UpdateResourceW
3ddef : VDMConsoleOperation
2f574 : VDMOperationStarted
4e431 : ValidateLCType
4e26f : ValidateLocale
40f0d : VerLanguageNameA
40ec3 : VerLanguageNameW
59635 : VerSetConditionMask : NTDLL.VerSetConditionMask
3a87e : VerifyConsoleIoHandle
20d35 : VerifyVersionInfoA
20cf6 : VerifyVersionInfoW
1e704 : VirtualAlloc
1e735 : VirtualAllocEx
1fd86 : VirtualBufferExceptionHandler
1e71e : VirtualFree
1e7d6 : VirtualFreeEx
1e8a5 : VirtualLock
1e815 : VirtualProtect
1e82f : VirtualProtectEx
1e85e : VirtualQuery
1e875 : VirtualQueryEx
1e8d6 : VirtualUnlock
2f1dc : WaitCommEvent
fa4d : WaitForDebugEvent
29f55 : WaitForMultipleObjects
29f6f : WaitForMultipleObjectsEx
b3c6 : WaitForSingleObject
29e1d : WaitForSingleObjectEx
2262b : WaitNamedPipeA
2265f : WaitNamedPipeW
48d63 : WideCharToMultiByte
2733c : WinExec
3a654 : WriteConsoleA
